Classification Id,Currency ISO Code,Default,Default Quantity,Max Quantity,Min Quantity,Modifiable,Sequence,Apttus_Config2__ClassificationId__r.Name,Apttus_Config2__ProductId__r.Product Name
"CP-0000017295","CHF","false","1.0","1.0","0.0","true","","San Francisco Down Town Other","Visa Handling Fee"
"CP-0000017296","CHF","false","1.0","1.0","0.0","true","","Santa Barbara Other","Visa Handling Fee"
"CP-0000017297","CHF","false","1.0","1.0","0.0","true","","Singapore Other","Visa Handling Fee"
"CP-0000017298","CHF","false","1.0","1.0","0.0","true","","Bournemouth Other","Visa Service"
"CP-0000017299","CHF","false","1.0","1.0","0.0","true","","Brisbane Other","Visa Service"
"CP-0000017300","CHF","false","1.0","1.0","0.0","true","","Costa Rica Other","Volcan Arenal"
"CP-0000017301","CHF","false","1.0","1.0","0.0","true","","Bristol Other","Volunteer Experience Plus"
"CP-0000017302","CHF","false","1.0","1.0","0.0","true","","Dublin Other","Volunteer Experience Plus"
"CP-0000017303","CHF","false","1.0","1.0","0.0","true","","London Other","Volunteer Experience Plus"
"CP-0000017304","CHF","false","1.0","1.0","0.0","true","","Malta St. Julian's Other","Volunteer Experience Plus"
"CP-0000017305","CHF","false","1.0","1.0","0.0","true","","Oxford Other","Volunteer Experience Plus"
"CP-0000017306","CHF","false","1.0","1.0","0.0","true","","Singapore Other","Volunteer Experience Plus"
"CP-0000017307","CHF","false","1.0","1.0","0.0","true","","Paris Other","Weekend at Normandy"
"CP-0000017308","CHF","false","1.0","1.0","0.0","true","","Bournemouth Other","YAF visa service fee"
"CP-0000017309","CHF","false","1.0","1.0","0.0","true","","Brisbane Other","YAF visa service fee"
"CP-0000017310","CHF","false","1.0","1.0","0.0","true","","Bristol Other","YAF visa service fee"
"CP-0000017311","CHF","false","1.0","1.0","0.0","true","","Chicago Other","YAF visa service fee"
"CP-0000017312","CHF","false","1.0","1.0","0.0","true","","Costa Rica Other","YAF visa service fee"
"CP-0000017313","CHF","false","1.0","1.0","0.0","true","","Dublin Other","YAF visa service fee"
"CP-0000017314","CHF","false","1.0","1.0","0.0","true","","Honolulu Other","YAF visa service fee"
"CP-0000017315","CHF","false","1.0","1.0","0.0","true","","London Other","YAF visa service fee"
"CP-0000017316","CHF","false","1.0","1.0","0.0","true","","Malta St. Julian's Other","YAF visa service fee"
"CP-0000017317","CHF","false","1.0","1.0","0.0","true","","Miami Other","YAF visa service fee"
"CP-0000017318","CHF","false","1.0","1.0","0.0","true","","Oxford Other","YAF visa service fee"
"CP-0000017319","CHF","false","1.0","1.0","0.0","true","","Paris Other","YAF visa service fee"
"CP-0000017320","CHF","false","1.0","1.0","0.0","true","","Saint Raphaël Other","YAF visa service fee"
"CP-0000017321","CHF","false","1.0","1.0","0.0","true","","San Diego Point Loma Other","YAF visa service fee"
"CP-0000017322","CHF","false","1.0","1.0","0.0","true","","San Francisco Down Town Other","YAF visa service fee"
"CP-0000017323","CHF","false","1.0","1.0","0.0","true","","Santa Barbara Other","YAF visa service fee"
"CP-0000017324","CHF","false","1.0","1.0","0.0","true","","Singapore Other","YAF visa service fee"
"CP-0000017325","CHF","false","1.0","1.0","0.0","true","","Bournemouth Other","YAF visa service fee 20+"
"CP-0000017326","CHF","false","1.0","1.0","0.0","true","","Brisbane Other","YAF visa service fee 20+"
"CP-0000017327","CHF","false","1.0","1.0","0.0","true","","Bristol Other","YAF visa service fee 20+"
"CP-0000017328","CHF","false","1.0","1.0","0.0","true","","Chicago Other","YAF visa service fee 20+"
"CP-0000017329","CHF","false","1.0","1.0","0.0","true","","Costa Rica Other","YAF visa service fee 20+"
"CP-0000017330","CHF","false","1.0","1.0","0.0","true","","Dublin Other","YAF visa service fee 20+"
"CP-0000017331","CHF","false","1.0","1.0","0.0","true","","Honolulu Other","YAF visa service fee 20+"
"CP-0000017332","CHF","false","1.0","1.0","0.0","true","","London Other","YAF visa service fee 20+"
"CP-0000017333","CHF","false","1.0","1.0","0.0","true","","Malta St. Julian's Other","YAF visa service fee 20+"
"CP-0000017334","CHF","false","1.0","1.0","0.0","true","","Miami Other","YAF visa service fee 20+"
