Currency ISO Code,Ratio,Sequence,Apttus_Config2__ProductGroupId__r.Group Name,Apttus_Config2__ProductId__r.Product Name
"CHF","","13.0","Products with Subtype Hotel and Hotel Extra Night","City Stay Apartment Double Extra Night"
"CHF","","14.0","Products with Subtype Hotel and Hotel Extra Night","Garden House Hotel Double Extra Night"
"CHF","","15.0","Products with Subtype Hotel and Hotel Extra Night","Best Western Gonville Double Extra Night"
"CHF","","16.0","Products with Subtype Hotel and Hotel Extra Night","Holiday Inn Double Extra Night"
"CHF","","17.0","Products with Subtype Hotel and Hotel Extra Night","Hilton Downtown Extra Night"
"CHF","","18.0","Products with Subtype Hotel and Hotel Extra Night","Holiday Inn Express Double Extra Night"
"CHF","","19.0","Products with Subtype Hotel and Hotel Extra Night","Homerton College Extra Night"
"CHF","","20.0","Products with Subtype Hotel and Hotel Extra Night","Holiday Inn Somerville Extra Night"
"CHF","","21.0","Products with Subtype Hotel and Hotel Extra Night","The Marriot Residence Inn Double Extra N"
"CHF","","22.0","Products with Subtype Hotel and Hotel Extra Night","Royal Cambidge Hotel Double Extra Night"
"CHF","","23.0","Products with Subtype Hotel and Hotel Extra Night","Royal Sonesta Hotel Double Extra Night"
"CHF","","24.0","Products with Subtype Hotel and Hotel Extra Night","Sorrento Double Extra Night"
"CHF","","25.0","Products with Subtype Hotel and Hotel Extra Night","University Arms Hotel Double Extra Night"
"CHF","","26.0","Products with Subtype Hotel and Hotel Extra Night","Varsity Hotel Double Extra Night"
"CHF","","27.0","Products with Subtype Hotel and Hotel Extra Night","The Boxer Hotel Single"
"CHF","","28.0","Products with Subtype Hotel and Hotel Extra Night","Flottwelll Hotel Single"
"CHF","","29.0","Products with Subtype Hotel and Hotel Extra Night","Gonville Hotel Single"
"CHF","","30.0","Products with Subtype Hotel and Hotel Extra Night","Hilton Double Tree Hotel Single"
"CHF","","31.0","Products with Subtype Hotel and Hotel Extra Night","Holiday Inn Express Hotel Single"
"CHF","","32.0","Products with Subtype Hotel and Hotel Extra Night","Homerton Hotel Single"
"CHF","","33.0","Products with Subtype Hotel and Hotel Extra Night","Marriott Hotel Single"
"CHF","","34.0","Products with Subtype Hotel and Hotel Extra Night","Royal Cambridge Hotel Single"
"CHF","","35.0","Products with Subtype Hotel and Hotel Extra Night","Royal Sonesta Hotel Single"
"CHF","","36.0","Products with Subtype Hotel and Hotel Extra Night","Sorrento Hotel Single"
"CHF","","37.0","Products with Subtype Hotel and Hotel Extra Night","Trastevere Hotel Single"
"CHF","","38.0","Products with Subtype Hotel and Hotel Extra Night","Triangle Apartments Single"
"CHF","","39.0","Products with Subtype Hotel and Hotel Extra Night","Varsity Hotel Single"
"CHF","","40.0","Products with Subtype Hotel and Hotel Extra Night","The Boxer Hotel Single Extra Night"
"CHF","","41.0","Products with Subtype Hotel and Hotel Extra Night","Flottwelll Hotel Single Extra Night"
"CHF","","42.0","Products with Subtype Hotel and Hotel Extra Night","Gonville Hotel Single Extra Night"
"CHF","","43.0","Products with Subtype Hotel and Hotel Extra Night","Hilton Double Tree Hotel Single Extra Night"
"CHF","","44.0","Products with Subtype Hotel and Hotel Extra Night","Holiday Inn Express Hotel Single Extra Night"
"CHF","","45.0","Products with Subtype Hotel and Hotel Extra Night","Homerton Hotel Single Extra Night"
"CHF","","116.0","AY Courses","University Foundation Year - Year Extended - January"
"CHF","","117.0","AY Courses","Semester - Pre MBA - January"
"CHF","","15.0","Non AY Courses","Junior Intensive Course"
"CHF","","6.0","Non AY Courses","Teacher Training Course"
"CHF","","18.0","Non AY Courses","Exam Course"
"CHF","","4.0","Non AY Courses","Super Intensive Course"
"CHF","","3.0","Non AY Courses","Summer Group"
"CHF","","8.0","Non AY Courses","Open Group"
"CHF","","16.0","Non AY Courses","Language Experience"
"CHF","","7.0","Non AY Courses","Senior Course"
"CHF","","1.0","Non AY Courses","Intensive Course"
