Currency ISO Code,Default Search Category,Description,Expanded By Default,Guide Page,Hide All Search Filters,Is Hidden,Is Leaf,Is Picklist,Label,Large Image Size,Left,Level,Long Description,Max Options,Min Options,Modifiable,Name,Product Count,Right,Search Filter Fields,Apttus_Config2__HierarchyId__r.Category Name,Apttus_Config2__AncestorId__r.Name,Apttus_Config2__PrimordialId__r.Name,Apttus_Config2__ProductAttributeGroupId__r.Group Name
"CHF","false","","false","","false","false","Yes","false","Munich Accommodation","","1.0","0.0","","1.0","1.0","true","Munich Accommodation","40.0","2.0","","Munich Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Munich Insurance","","1.0","0.0","","1.0","1.0","true","Munich Insurance","10.0","2.0","","Munich Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Munich Travel","","1.0","0.0","","1.0","1.0","true","Munich Travel","30.0","2.0","","Munich Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Munich Other","","1.0","0.0","","1.0","1.0","true","Munich Other","40.0","2.0","","Munich Other","","",""
"CHF","false","","false","","false","false","Yes","false","New York Courses","","1.0","0.0","","1.0","1.0","true","New York Courses","59.0","2.0","","New York Courses","","",""
"CHF","false","","false","","false","false","Yes","false","New York Accommodation","","1.0","0.0","","1.0","1.0","true","New York Accommodation","19.0","2.0","","New York Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","New York insurance","","1.0","0.0","","1.0","1.0","true","New York insurance","10.0","2.0","","New York insurance","","",""
"CHF","false","","false","","false","false","Yes","false","New York Travel","","1.0","0.0","","1.0","1.0","true","New York Travel","12.0","2.0","","New York Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Nice Courses","","1.0","0.0","","1.0","1.0","true","Nice Courses","49.0","2.0","","Nice Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Nice Accommodation","","1.0","0.0","","1.0","1.0","true","Nice Accommodation","33.0","2.0","","Nice Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Nice Insurance","","1.0","0.0","","1.0","1.0","true","Nice Insurance","10.0","2.0","","Nice Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Nice Travel","","1.0","0.0","","1.0","1.0","true","Nice Travel","12.0","2.0","","Nice Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Nice Other","","1.0","0.0","","1.0","1.0","true","Nice Other","42.0","2.0","","Nice Other","","",""
"CHF","false","","false","","false","false","Yes","false","Eastbourne Accommodation","","1.0","0.0","","1.0","1.0","true","Eastbourne Accommodation","23.0","2.0","","Eastbourne Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Eastbourne Insurance","","1.0","0.0","","1.0","1.0","true","Eastbourne Insurance","10.0","2.0","","Eastbourne Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Eastbourne Travel","","1.0","0.0","","1.0","1.0","true","Eastbourne Travel","33.0","2.0","","Eastbourne Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Eastbourne Other","","1.0","0.0","","1.0","1.0","true","Eastbourne Other","46.0","2.0","","Eastbourne Other","","",""
"CHF","false","","false","","false","false","Yes","false","Madrid Courses","","1.0","0.0","","1.0","1.0","true","Madrid Courses","58.0","2.0","","Madrid Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Madrid Accommodation","","1.0","0.0","","1.0","1.0","true","Madrid Accommodation","39.0","2.0","","Madrid Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Madrid Insurance","","1.0","0.0","","1.0","1.0","true","Madrid Insurance","13.0","2.0","","Madrid Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Madrid Travel","","1.0","0.0","","1.0","1.0","true","Madrid Travel","12.0","2.0","","Madrid Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Madrid Other","","1.0","0.0","","1.0","1.0","true","Madrid Other","50.0","2.0","","Madrid Other","","",""
"CHF","false","","false","","false","false","Yes","false","Malaga Courses","","1.0","0.0","","1.0","1.0","true","Malaga Courses","49.0","2.0","","Malaga Courses","","",""
