Adjustment Heading,Articles Heading,Code Heading,Comments Heading,Course Description Heading,Currency ISO Code,Description Translation,Discount Heading,Duration Heading,General heading,GeneralInfo Translation,Grand Total Heading,Incentive,Incentive Heading,Initial Price Heading,Insurance Heading,Language,Lessons Descriptions Translation,Market,No of Weeks Heading,Optional Heading,Price Heading,Product,Product Name Translation,Promotions Heading,Total Heading,Transalation Name,Unique Record Identifier,Valid Until Heading,RecordType.Name,Incentive__r.Incentive Name,Product__r.Product Name
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBnQAM","Victoria Summer Residence Twin","","","T-1693","FRP FR REST-VISR","","Product Translation","","Victoria Summer Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBoQAM","Washington Summer Residence Twin","","","T-1694","FRP FR REST-WASR","","Product Translation","","Washington Summer Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBqQAM","Wilmslow Park Twin","","","T-1695","FRP FR REST-WILM","","Product Translation","","Wilmslow Park Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTfpQAE","Ability Towers Twin Extra Night","","","T-1696","FRP FR RESTX-ABIL","","Product Translation","","Ability Towers Twin Extra Night"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBrQAM","All Days Twin Extra Night","","","T-1697","FRP FR RESTX-ADAY","","Product Translation","","All Days Twin Extra Night"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBtQAM","Allegro Residence Twin Peak Extra Night","","","T-1698","FRP FR RESTX-ALLEP","","Product Translation","","Allegro Residence Twin Peak Extra Night"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBuQAM","Angeles Custodios Twin Extra Night","","","T-1699","FRP FR RESTX-ANCU","","Product Translation","","Angeles Custodios Twin Extra Night"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBvQAM","Apart City Summer Residence Twin Extra Night","","","T-1700","FRP FR RESTX-APCI","","Product Translation","","Apart City Summer Residence Twin Extra Night"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTgBQAU","Balluta Bay Residence Twin Extra Night","","","T-1701","FRP FR RESTX-BALL","","Product Translation","","Balluta Bay Residence Twin Extra Night"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBwQAM","Bavaria Twin Extra Night","","","T-1702","FRP FR RESTX-BAVA","","Product Translation","","Bavaria Twin Extra Night"
