Active,Actual Icon Size,Available Programs,AY Course Type,Bundle Invoice Level,Configuration Type,Course Pricing,Currency ISO Code,Destination Location,Discontinued Date,Effective Date,Effective Start Date,Enable Start Date & End Date,Exclude From Sitemap,Expiration Date,Has Attributes,Has Defaults,Has Options,Has Search Attributes,Is Optional,Launch Date,Must Configure,Price Override Allowed,Product Code,Product Description,Product Family,Product Name,Product Subtype,Product Type,Qunatity Modifiable,TI Pricing,Uom,Version
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","PTS","","","Peak Transportation Supplement","No Subtype","Travel","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PTSFM","","","San Francisco & Monterey Post Tour","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PTSFTP","","","San Francisco and Monteray Bay","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PTUSEC","","","USA East Coast Post-tour","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PTWCCP","","","West Coast Universities Tour","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PTWCGP","","","San Francisco and Los Angeles Post Tour","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PTWNBP","","","New York and Boston WE","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","RBUPS","","","UP ebooking Fee","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","true","REMU","","","Residence Multi Upgrade","No Subtype","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESM","","Accommodation","Residential Multi","Residence","Accommodation","true","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESM-ALIS","","Accommodation","Alisa Home Suites Multi","Residence","Accommodation","true","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESM-ANCA","","Accommodation","Antwerp Campus Apartment Multi","Residence","Accommodation","true","false","Week","1.0"
